City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","70328","2015","PM10","WHO_2021_AQG_Scen_Base","17","19.3","19.4","","","","","",""
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","70328","2015","PM2.5","WHO_2021_AQG_Scen_Base","17","9.0","9.0","21","16","24","213","162","238"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","70177","2016","NO2","WHO_2021_AQG_Scen_Base","17","11.9","13.0","4","2","8","43","22","84"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","70177","2016","O3","WHO_2021_AQG_Scen_Base","17","3289.6","3080.8","2","2","3","27","21","32"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","70177","2016","PM10","WHO_2021_AQG_Scen_Base","17","19.9","20.2","","","","","",""
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","70177","2016","PM2.5","WHO_2021_AQG_Scen_Base","17","7.8","7.8","14","11","16","151","114","169"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","70089","2017","NO2","WHO_2021_AQG_Scen_Base","17","11.5","12.7","4","2","8","38","19","76"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","70089","2017","O3","WHO_2021_AQG_Scen_Base","17","2502.1","2246.4","2","2","2","19","15","23"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","70089","2017","PM10","WHO_2021_AQG_Scen_Base","17","18.9","19.2","","","","","",""
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","70089","2017","PM2.5","WHO_2021_AQG_Scen_Base","17","7.8","7.8","15","12","17","149","113","167"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","69967","2018","NO2","WHO_2021_AQG_Scen_Base","17","10.8","12.0","3","1","6","30","15","58"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","69967","2018","O3","WHO_2021_AQG_Scen_Base","17","3282.4","3215.7","3","2","3","28","22","33"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","69967","2018","PM10","WHO_2021_AQG_Scen_Base","17","19.7","20.0","","","","","",""
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","69967","2018","PM2.5","WHO_2021_AQG_Scen_Base","17","7.5","7.5","13","10","15","134","102","150"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","69195","2019","NO2","WHO_2021_AQG_Scen_Base","17","10.2","11.6","3","1","5","25","13","50"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","69195","2019","O3","WHO_2021_AQG_Scen_Base","17","3808.5","3655.1","3","2","4","31","25","38"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","69195","2019","PM10","WHO_2021_AQG_Scen_Base","17","20.8","21.2","","","","","",""
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","69195","2019","PM2.5","WHO_2021_AQG_Scen_Base","17","8.3","8.3","18","14","20","177","135","198"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68993","2020","NO2","WHO_2021_AQG_Scen_Base","17","9.5","10.4","1","1","2","11","5","21"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68993","2020","O3","WHO_2021_AQG_Scen_Base","17","2553.6","2449.0","2","2","3","22","17","26"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68993","2020","PM10","WHO_2021_AQG_Scen_Base","17","18.5","18.7","","","","","",""
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68993","2020","PM2.5","WHO_2021_AQG_Scen_Base","17","7.6","7.6","16","12","18","146","111","163"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68524","2021","NO2","WHO_2021_AQG_Scen_Base","17","9.7","10.8","2","1","4","16","8","31"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68524","2021","O3","WHO_2021_AQG_Scen_Base","17","2392.2","2257.1","2","2","3","20","16","24"
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68524","2021","PM10","WHO_2021_AQG_Scen_Base","17","20.4","20.5","","","","","",""
"Urban Centres (grid)","Italy","Sassari","GEOSTAT11_792","68524","2021","PM2.5","WHO_2021_AQG_Scen_Base","17","8.3","8.3","21","16","23","184","140","206"
