Country Or Territory,Total City Population *,Year,Air Pollutant,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths
Sweden,3072385,2020,PM2.5,778,5.1,5.3,125
Austria,2620152,2021,NO2,446,18.5,20.7,529
Belgium,3352370,2021,NO2,745,18.4,20.5,711
Bulgaria,2708595,2021,NO2,384,21.5,22.8,1423
Croatia,1029966,2021,NO2,195,16.9,17.9,212
Cyprus,511235,2021,NO2,131,26.9,27.4,131
Czechia,2535656,2021,NO2,536,16.8,17.8,498
Denmark,1608692,2021,NO2,400,9.3,10.8,41
Estonia,511491,2021,NO2,103,9.3,10.2,8
Finland,1255934,2021,NO2,427,10.0,10.8,27
France,22796061,2021,NO2,4382,16.4,19.7,4022
Germany,25682425,2021,NO2,6769,17.8,19.1,5344
Greece,4894970,2021,NO2,557,22.4,25.9,1770
Hungary,2684098,2021,NO2,577,20.3,22.1,974
Ireland,1486132,2021,NO2,392,12.4,13.2,60
Italy,17849947,2021,NO2,4002,22.3,24.5,6010
Latvia,623775,2021,NO2,138,13.6,14.6,103
Lithuania,890254,2021,NO2,181,14.3,15.0,143
Luxembourg,114759,2021,NO2,28,17.8,18.3,12
Malta,318893,2021,NO2,57,10.9,11.8,9
Netherlands,8183787,2021,NO2,1885,16.9,17.9,1161
Poland,11316073,2021,NO2,2178,17.6,18.7,2526
Portugal,3280288,2021,NO2,712,15.0,16.4,474
Romania,6206337,2021,NO2,849,23.4,25.7,2809
Slovakia,757156,2021,NO2,159,15.3,16.1,118
Slovenia,305726,2021,NO2,76,17.7,18.9,56
Spain,23295358,2021,NO2,2439,16.1,19.6,3997
Sweden,3087768,2021,NO2,778,8.4,9.4,36
Austria,2620152,2021,O3,446,4382.3,4453.5,132
Belgium,3352370,2021,O3,745,2069.6,2043.3,82
Bulgaria,2708595,2021,O3,384,2204.9,2107.7,141
Croatia,1029966,2021,O3,195,5216.5,5220.8,84
Cyprus,511235,2021,O3,131,7589.5,7548.6,35
Czechia,2535656,2021,O3,536,3527.4,3514.3,134
Denmark,1608692,2021,O3,400,1967.2,1915.0,32
Estonia,511491,2021,O3,103,1752.1,1747.3,12
Finland,1255934,2021,O3,427,1548.7,1513.4,22
France,22796061,2021,O3,4382,3173.5,3090.9,770
Germany,25682425,2021,O3,6769,2789.2,2806.4,990
Greece,4894970,2021,O3,557,8422.7,8335.6,562
Hungary,2684098,2021,O3,577,4773.6,4776.3,234
Ireland,1486132,2021,O3,392,1528.2,1483.9,17
Italy,17849947,2021,O3,4002,6232.3,5979.3,1496
Latvia,623775,2021,O3,138,1690.7,1626.4,21
Lithuania,890254,2021,O3,181,2357.0,2330.6,39
Luxembourg,114759,2021,O3,28,2219.7,2222.1,2
Malta,318893,2021,O3,57,6493.1,6438.0,18
Netherlands,8183787,2021,O3,1885,2244.3,2203.6,197
Poland,11316073,2021,O3,2178,3216.1,3201.9,557
Portugal,3280288,2021,O3,712,2806.0,2816.3,126
Romania,6206337,2021,O3,849,2838.7,2788.7,303
Slovakia,757156,2021,O3,159,4015.6,3971.2,44
Slovenia,305726,2021,O3,76,5254.4,5200.2,20
Spain,23295358,2021,O3,2439,4639.8,4554.0,1134
Sweden,3087768,2021,O3,778,1881.0,1871.6,60
Austria,2620152,2021,PM2.5,446,11.3,11.3,1199
Belgium,3352370,2021,PM2.5,745,10.8,11.1,1580
Bulgaria,2708595,2021,PM2.5,384,16.4,16.6,4856
Croatia,1029966,2021,PM2.5,195,16.2,16.5,1156
Cyprus,511235,2021,PM2.5,131,14.9,15.0,288
Czechia,2535656,2021,PM2.5,536,14.5,14.7,2311
Denmark,1608692,2021,PM2.5,400,8.3,8.2,354
Estonia,511491,2021,PM2.5,103,6.5,6.5,67
Finland,1255934,2021,PM2.5,427,6.0,6.0,98
France,22796061,2021,PM2.5,4382,10.5,10.8,9196
Germany,25682425,2021,PM2.5,6769,10.1,10.2,11891
Greece,4894970,2021,PM2.5,557,17.5,18.1,5495
Hungary,2684098,2021,PM2.5,577,15.4,15.5,3207
Ireland,1486132,2021,PM2.5,392,7.5,7.5,174
Italy,17849947,2021,PM2.5,4002,15.1,14.9,15687
Latvia,623775,2021,PM2.5,138,13.4,13.5,685
Lithuania,890254,2021,PM2.5,181,12.6,12.6,820
Luxembourg,114759,2021,PM2.5,28,7.7,7.7,16
Malta,318893,2021,PM2.5,57,11.6,11.7,121
Netherlands,8183787,2021,PM2.5,1885,9.8,9.8,2702
Poland,11316073,2021,PM2.5,2178,20.6,20.7,16734
Portugal,3280288,2021,PM2.5,712,8.6,8.5,1006
Romania,6206337,2021,PM2.5,849,15.8,15.9,7409
Slovakia,757156,2021,PM2.5,159,16.2,16.5,817
Slovenia,305726,2021,PM2.5,76,16.0,16.4,270
Spain,23295358,2021,PM2.5,2439,10.1,10.3,8474
Sweden,3087768,2021,PM2.5,778,6.2,6.3,288
